cod,denumire,um,tva,den_tip,stoc,grupa,pret_vanz,pret_v_tva,is_valuta,cod_bare,cod_fe,cod_cpv,plu,tip,pret_vanz2,pret_v_tv2,blocat,brut,cant_min,text_supl,garantie,greutate,ok,is_lot,cod_cer,categorie,cod_sgr,volum,tip_a,tara_orig,greutate_b
"00000027","SISTEM ASPIRARE PRAF","BUC",0.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000028","PLATFORMA STANDERS OTEL","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000029","ELECTROPALAN 250 KG/18M 930W","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000030","NIVELA LASER DEXTER 360","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000031","POLIZOR UNGHIULAR 125MM/950W","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000032","AZOT 14L","",19.00,"Alte mat. consumabile",0.000,"",0.0000,0.0000,0,0,"","",0,"16",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000033","BUTELIE AZOT 10.8MC","BUC",19.00,"Marfuri",0.000,"",0.0000,0.0000,0,0,"","",0,"01",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000034","BUTELIE OXIGEN","BUC",19.00,"Marfuri",0.000,"",0.0000,0.0000,0,0,"","",0,"01",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000035","ANVELOPE 245/40 R18 ATLANTIS","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000036","CURATITOR PRES. K4 FULL CONTROL","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000037","ASPIRATOR ASPWD3","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000038","CIOCAN ROTOPERCUTOR MAKITA DHR165Z","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
"00000039","MASINA DE GAURIT SI INSURUBAT MAKITA DDF481Z","BUC",19.00,"Obiecte de inventar",0.000,"",0.0000,0.0000,0,0,"","",0,"06",0.0000,0.0000,0,0.000,0.000,"",0,0.000,0,0,"","","",0.000,"","",0.000
